"Mean","SD","NBeads"
312,166,18
12135,1340,18
2840,650,11
6307,710,11
4989,721,7
3732,588,12
2422,475,20
1808,524,15
6166,930,17
243,89,13
3616,947,13
1186,177,12
14271,1534,12
9602,926,13
8403,782,15
7765,756,18
2755,300,9
4051,854,14
1477,407,21
990,349,17
1750,401,16
1520,291,19
793,217,13
7352,853,11
1417,241,15
1647,837,6
394,224,15
753,159,13
1716,573,8
3351,407,13
704,109,10
3439,673,13
1963,515,20
214,120,6
2226,433,10
392,184,24
7857,709,6
1488,432,14
282,167,16
2407,632,13
10440,1084,21
3032,521,12
8909,1988,7
4006,185,5
12207,996,17
10382,1102,12
331,102,6
269,174,12
14841,1611,14
341,210,11
1330,341,9
578,238,14
475,242,11
5706,710,17
4046,596,8
8920,961,21
635,242,14
248,151,12
1000,569,12
4827,616,13
1039,351,10
330,190,23
663,349,14
4783,731,15
14635,872,9
5837,631,12
286,205,9
6862,938,13
3811,603,11
6911,374,13
878,385,14
1532,461,12
266,179,11
982,235,14
1705,385,9
1149,330,11
12470,920,10
7847,885,16
886,314,8
459,141,17
1010,403,15
12469,942,9
14528,940,11
9684,606,12
236,115,10
7211,680,19
2060,343,10
8764,1805,9
681,347,9
9767,942,17
7816,1014,12
13846,1434,6
1486,519,17
1207,285,11
325,163,15
326,265,13
1201,335,12
7471,819,14
7436,1115,15
1177,179,5
721,168,17
3276,395,13
397,202,11
8012,1022,20
2145,464,13
1242,415,15
815,263,15
288,170,13
15075,1921,9
3398,581,10
161,115,12
504,259,14
550,360,19
309,231,20
6714,731,10
778,416,14
14061,1025,15
1348,221,16
9738,538,15
455,157,14
502,292,5
1262,190,13
10372,681,9
1706,331,10
246,163,10
1159,325,21
9210,818,13
136,83,13
800,234,12
8459,649,14
15331,1087,15
5351,409,13
607,193,10
2533,464,15
4899,935,21
292,230,6
17545,1585,11
9707,910,11
1887,302,13
254,68,7
161,119,10
1138,367,12
587,188,8
874,243,21
688,259,9
3372,687,17
23,7,3
657,253,15
381,175,13
3565,629,14
1428,458,13
2702,708,11
258,153,15
798,415,9
5376,1090,9
673,368,17
652,279,14
37,24,8
12881,526,8
1540,230,15
10501,1194,12
390,222,10
2421,370,10
181,139,11
832,307,16
276,139,9
12465,1861,12
179,81,11
4718,564,17
11828,1030,7
5076,749,17
7187,1065,16
5064,1141,17
2377,536,16
581,162,15
1550,85,5
274,153,10
226,119,11
11592,1080,12
6241,936,16
12509,1340,25
5430,816,11
1470,555,8
9103,707,19
9398,1218,14
11414,997,18
372,212,12
354,158,11
618,330,12
8758,787,8
763,297,17
12153,844,15
13898,1541,16
7677,1007,16
1547,403,8
16137,880,16
7025,784,7
1323,274,12
5633,682,9
621,223,12
2433,486,16
3271,323,12
2710,347,15
315,126,7
5709,449,9
2148,606,20
220,132,12
157,98,12
7339,1101,13
599,238,22
11919,1717,7
10147,545,8
7118,1002,15
2264,424,13
508,243,15
129,118,17
3748,578,8
1089,328,10
3077,537,17
509,192,17
5132,1026,9
9784,483,14
922,268,15
119,104,5
1788,495,13
7453,566,20
5365,742,13
1936,268,15
2414,271,15
2566,630,11
9218,661,10
10466,1361,19
6763,737,6
9922,1455,7
6099,1065,7
5117,527,13
2560,335,10
416,279,15
12672,1033,17
6683,369,13
541,160,15
11074,1397,7
7558,969,22
6255,703,23
268,210,12
3933,506,20
3634,361,8
13955,1725,18
487,195,12
10360,406,13
744,120,9
5886,977,13
173,119,13
4851,646,17
16150,1922,16
7477,957,7
349,210,10
143,111,11
1585,405,13
980,483,9
310,162,12
4824,588,12
1932,213,5
733,302,16
5655,928,9
5421,683,17
15462,1698,15
6262,628,9
6469,680,14
680,296,12
11956,757,9
5861,615,13
554,261,16
2374,371,15
3798,602,16
1048,365,9
8145,1095,13
13741,1532,16
1163,435,14
420,178,13
5257,1090,15
236,117,11
311,192,15
11202,1268,11
11256,1201,14
4226,433,5
9466,1239,13
10726,936,7
238,198,9
1157,561,7
336,265,14
294,172,9
2379,646,15
3238,439,12
11581,1244,12
3521,515,18
935,305,19
2756,450,12
13281,746,13
5971,453,12
1154,235,16
1136,274,12
5191,702,11
715,203,11
6838,994,19
2304,381,12
447,181,14
2395,615,10
10332,1323,18
15498,1312,14
10965,907,11
441,231,8
14057,1455,17
4002,544,8
2489,457,11
12235,1474,17
471,169,14
329,171,14
3275,362,13
450,336,8
14646,1513,11
14279,1171,13
4682,877,16
224,200,8
1106,434,15
591,211,17
851,273,13
580,105,11
11940,1332,13
11599,1146,12
1440,249,14
13209,1375,11
588,34,5
10453,1756,5
10504,1120,16
9654,1267,10
4215,489,13
558,348,16
1929,406,7
1498,420,15
13421,2345,6
5435,608,9
3211,676,21
3785,626,9
1370,266,10
4339,580,17
1299,337,11
546,259,10
4570,345,13
4594,453,5
2819,518,15
12755,678,9
140,100,11
503,201,13
882,462,6
491,121,8
2717,219,7
1118,460,14
610,212,7
14833,1128,8
8159,1096,12
8959,998,13
464,304,14
12782,1180,11
321,115,16
297,190,6
1718,458,18
1152,230,16
10672,715,5
1697,553,9
3360,552,11
13885,1432,15
1012,306,10
6560,847,7
15631,1119,11
764,205,15
3158,355,6
8185,1510,5
487,187,7
965,619,11
13265,1662,17
1427,325,20
184,133,15
4030,565,10
753,195,12
10850,1429,16
627,254,12
701,278,9
8191,838,17
5840,709,21
1964,466,16
2157,593,14
13855,1750,13
246,161,7
9813,814,17
332,252,11
3652,635,14
1933,213,13
1723,157,11
9788,694,18
7028,1298,13
520,167,14
358,159,18
696,204,13
6074,824,15
7205,670,12
13526,1306,6
475,272,13
1594,458,12
2481,641,6
5586,518,14
1704,511,19
583,250,14
1104,335,11
2158,436,12
386,191,20
1396,437,11
12042,1592,10
476,219,13
901,97,14
1427,316,12
415,71,18
8040,822,13
3106,533,21
14170,1102,13
14256,1130,15
220,174,16
5614,1084,4
2961,559,12
11338,1559,22
11638,766,9
5822,531,10
188,128,10
12895,1596,16
10591,1259,22
11109,1020,6
4251,653,10
1121,70,5
674,455,12
488,229,13
6075,625,17
9458,892,8
9737,972,11
746,121,8
885,173,14
290,187,7
5913,789,18
2323,293,14
1198,301,15
813,39,5
1189,286,11
11968,1913,11
4225,733,21
230,90,14
9783,841,18
284,109,11
4538,721,10
334,182,11
652,210,10
1615,406,12
6370,801,13
252,181,9
3042,435,12
10822,1213,13
13464,1443,12
5583,1107,11
41,53,3
12595,1280,11
1767,369,14
6247,733,10
1049,274,17
1851,440,15
397,98,12
3824,894,9
4176,784,15
12912,914,14
424,267,19
4751,554,8
169,104,10
711,263,12
5995,626,15
449,176,13
788,324,11
10977,1192,20
13783,1546,16
10209,993,13
173,127,16
7116,1633,7
8974,968,14
211,82,9
683,224,13
1717,580,11
6575,474,14
846,266,24
283,231,17
948,243,11
9522,871,7
268,118,12
596,276,17
2476,229,9
12419,992,10
11930,1002,11
682,431,6
14772,241,7
305,204,13
10229,1400,21
198,84,13
171,150,10
3515,698,12
201,152,17
844,590,7
2146,418,12
313,138,8
451,238,10
403,92,12
11574,1048,6
1752,237,8
368,93,9
3817,495,14
11084,994,16
12780,1268,4
727,232,16
14345,2066,16
287,197,8
3822,242,8
8893,1021,10
6698,1122,13
10001,1359,13
6665,1118,19
200,136,11
1670,424,20
4172,790,9
9100,917,16
14516,1463,15
224,124,13
240,187,14
736,377,16
319,173,8
277,179,15
5333,689,16
7092,882,11
300,150,16
10095,1217,19
4299,562,12
10720,1724,13
5601,1132,17
8893,825,15
402,260,7
2274,242,14
6993,1080,15
168,151,13
2320,452,14
7881,1063,15
10317,1632,7
12926,1124,15
13713,562,5
3900,608,19
2765,598,6
2258,463,14
5753,697,13
277,218,10
4390,467,5
657,301,8
10034,947,8
311,165,13
7615,909,17
13774,2124,15
16748,1654,13
17054,2082,11
10863,1332,8
11641,1261,15
5246,622,15
213,68,10
4076,568,7
5288,764,11
13901,507,6
9428,939,13
10565,965,13
2650,439,14
9872,1132,15
11473,1021,13
10623,1083,13
2187,422,21
519,230,11
4137,565,7
7159,876,17
257,168,13
927,319,16
3412,423,12
14157,1242,11
2360,484,15
222,100,16
485,281,18
2110,347,12
862,301,16
8031,1150,18
10993,1122,14
951,336,13
380,172,10
3837,487,12
939,216,23
646,221,7
4500,609,13
9180,789,15
12135,256,5
1772,229,2
6557,968,8
5135,921,20
9792,1182,12
8241,1079,11
1346,289,15
14066,1527,18
2030,427,12
272,118,17
1718,391,10
745,237,20
8068,528,4
1610,384,9
643,201,16
416,176,8
15962,1590,13
349,131,15
822,265,13
351,221,15
1166,367,18
457,249,12
286,245,3
3897,650,14
7398,1085,19
978,345,16
667,232,8
200,150,8
1191,221,4
7392,986,12
2008,469,9
637,289,11
455,196,15
2321,527,14
2773,567,13
17282,1535,12
369,165,16
8632,780,11
405,218,10
327,235,13
10864,972,11
5607,683,13
1357,473,15
283,156,7
8275,751,8
3943,258,8
10368,1509,17
12369,1537,9
6071,915,11
845,256,10
8016,965,14
241,146,9
609,224,11
600,72,11
1161,76,6
819,430,11
2953,554,13
4007,761,10
1237,398,19
447,235,12
9794,636,8
10636,1080,18
3733,665,12
11658,954,13
326,240,12
1115,302,12
8965,1309,19
15075,1459,15
1070,357,7
13550,1200,13
10733,1336,20
7860,1286,15
6141,660,18
2309,563,11
13358,1007,14
7996,1028,10
546,304,17
620,332,7
2513,376,7
167,141,8
6539,1192,10
11467,490,11
14554,1087,13
14156,1398,11
895,283,16
