"Mean","SD","NBeads"
347,220,18
2326,533,18
1358,374,11
14089,849,11
4456,163,7
959,260,12
305,175,20
13261,1627,15
472,268,17
271,220,13
145,94,13
10859,1345,12
410,192,12
5558,786,13
1067,338,15
11686,1012,18
5621,925,9
295,187,14
522,349,21
10579,1113,17
11524,1375,16
13606,912,19
11133,1112,13
4370,893,11
16393,1923,15
11007,276,6
6779,872,15
12957,1165,13
224,134,8
6646,759,13
2563,735,10
591,329,13
8247,1328,20
1868,464,6
5248,315,10
4627,818,24
1868,329,6
9656,1303,14
491,325,16
8260,1158,13
5465,858,21
446,196,12
1053,532,7
162,134,5
3841,560,17
452,220,12
5640,1359,6
4174,732,12
1516,363,14
354,196,11
9793,854,9
7732,920,14
8353,1199,11
1762,312,17
3580,635,8
1268,466,21
447,274,14
626,259,12
8056,1258,12
565,314,13
6241,1169,10
485,340,23
6787,849,14
411,235,15
3604,562,9
3123,520,12
2037,399,9
2747,449,13
1427,417,11
551,272,13
13066,1134,14
12161,1626,12
6932,1158,11
297,119,14
231,187,9
9972,1164,11
2513,713,10
10932,860,16
14624,1513,8
431,181,17
15072,1910,15
1696,496,9
1871,432,11
7768,1130,12
238,206,10
1424,377,19
14341,1144,10
2561,662,9
2581,666,9
4551,999,17
3583,559,12
4198,937,6
10912,1571,17
2868,813,11
357,133,15
3548,767,13
18845,1538,12
674,293,14
2755,484,15
10005,1724,5
7212,770,17
761,335,13
555,278,11
960,334,20
14900,1036,13
12145,1267,15
4223,1406,15
2259,438,13
3122,643,9
3638,464,10
548,182,12
2601,591,14
2011,536,19
1296,350,20
3620,521,10
13200,1177,14
2215,464,15
15712,1835,16
2006,297,15
882,322,14
123,56,5
14416,2028,13
900,335,9
20958,1152,10
591,372,10
2739,739,21
636,268,13
2437,533,13
6559,926,12
2371,576,14
2017,407,15
641,223,13
145,127,10
349,282,15
527,242,21
6357,808,6
3582,766,11
688,251,11
6305,630,13
279,218,7
318,193,10
11747,1204,12
9259,1159,8
5143,768,21
9161,397,9
455,291,17
47,13,3
9540,1223,15
203,113,13
10901,1015,14
11280,1375,13
4437,898,11
1586,505,15
12205,1458,9
6003,1473,9
279,251,17
639,341,14
115,91,8
798,241,8
10751,1410,15
453,249,12
3633,857,10
8643,1414,10
259,126,11
10885,1544,16
2106,452,9
497,277,12
366,263,11
604,375,17
713,312,7
1025,400,17
14161,929,16
5434,1520,17
399,208,16
9873,845,15
3581,343,5
3419,587,10
404,225,11
1192,349,12
1181,320,16
1087,368,25
469,278,11
5186,639,8
6809,873,19
2361,455,14
6019,1065,18
432,136,12
5356,675,11
169,118,12
1916,574,8
12228,1331,17
3448,509,15
2930,678,16
13437,1161,16
159,144,8
7870,905,16
4299,592,7
14968,1378,12
240,158,9
4740,1028,12
727,216,16
11240,1351,12
1196,478,15
447,124,7
3520,950,9
6530,1182,20
168,124,12
621,251,12
1376,595,13
12060,1428,22
938,609,7
570,311,8
488,283,15
4320,377,13
9130,638,15
226,146,17
1678,183,8
2190,473,10
3629,515,17
850,310,17
8892,943,9
3804,693,14
8791,921,15
111,78,5
12751,1562,13
655,296,20
2741,839,13
17898,1443,15
950,353,15
9184,1161,11
597,283,10
635,275,19
6917,757,6
1440,276,7
3595,418,7
1084,343,13
1580,385,10
5432,1224,15
8699,859,17
1821,377,13
1980,621,15
921,368,7
11960,943,22
12956,1908,23
575,257,12
479,254,20
2630,661,8
966,242,18
2586,404,12
1653,638,13
9459,1191,9
24217,1701,13
279,237,13
2520,683,17
1958,371,16
5722,644,7
3857,996,10
240,143,11
395,225,13
11450,885,9
953,337,12
1108,273,12
13863,1838,5
8899,1098,16
104,103,9
290,190,17
1619,284,15
309,119,9
562,324,14
9295,891,12
1162,261,9
1294,552,13
9396,835,16
430,208,15
310,275,16
11661,1797,9
1268,381,13
3809,806,16
12124,1719,14
8702,1445,13
8199,1113,15
5724,666,11
2873,689,15
5525,833,11
1007,248,14
193,20,5
397,175,13
1507,455,7
281,196,9
12498,2084,7
437,175,14
3333,585,9
7263,954,15
21502,845,12
7955,825,12
401,244,18
11496,1047,19
15288,1252,12
2040,438,13
7335,780,12
10215,967,16
10267,1453,12
7404,1000,11
185,149,11
719,222,19
1100,198,12
944,360,14
11989,872,10
2139,637,18
1814,705,14
1334,320,11
882,518,8
2070,564,17
1193,271,8
12653,1222,11
1564,418,17
10687,1339,14
639,281,14
8041,897,13
4653,709,8
991,584,11
392,126,13
294,172,16
214,146,8
9892,1090,15
13584,1349,17
10860,883,13
322,207,11
1220,250,13
1203,245,12
10781,1621,14
7679,1166,11
8284,816,5
1685,337,5
2534,541,16
302,158,10
9574,606,13
195,165,16
13113,1221,7
18529,1252,15
862,232,6
658,305,9
600,339,21
4098,199,9
12174,916,10
4628,667,17
7090,841,11
5511,409,10
165,124,13
12039,1420,5
1134,363,15
1978,489,9
620,214,11
8831,845,13
7376,841,6
3593,299,8
684,337,7
2610,626,14
13906,1073,7
3687,864,8
1327,378,12
949,329,13
7490,687,14
1994,401,11
479,331,16
2226,115,6
14141,1588,18
801,328,16
16179,2186,5
386,193,9
449,277,11
1056,401,15
10629,1341,10
956,446,7
527,182,11
13799,892,15
530,101,6
662,426,5
4501,521,7
1475,350,11
736,366,17
8221,947,20
1284,477,15
630,120,10
